-1000,21.5
-600,18.9
-200,16.3
0,15
200,13.7
600,11.1
1000,8.5
1400,5.9
1800,3.3
1200,0.7
2600,-1.9
3000,-4.5
3400,-7.1
3800,-9.7
4000,-11
5000,-17.5
6000,-24
7000,-30.5
8000,-37
